Date,Label,Count
02/01/24,academia,1
04/01/24,academia,2
06/01/24,academia,3
08/01/24,academia,4
10/01/24,futvolei,5
12/01/24,Futvolei,6
13/01/24,wakeboard,7
16/01/24,Corrida,8
17/01/23,Futvolei,9
19/01/23,Futvolei,10
20/01/23,Futvolei,11
23/01/23,academia,12
24/01/23,Futvolei,13
25/01/23,academia,14
26/01/23,Futvolei ,15
01/02/23,Pelada,16
02/02/23,Futvolei,17
04/02/24,Campeonato Futvolei,18
07/02/24,Futvolei,19
12/02/24,wakeboard,20
18/02/24,bike,21
19/02/24,futvolei,22
28/02/24,Futvolei,23
01/03/24,futvolei,24
05/03/24,Futvolei,25
08/03/24,Futvolei,26
11/03/24,Futvolei,27
11/03/24,corrida,28
15/03/24,Futvolei,29
16/03/24,campeonato Futvolei,30
18/03/24,futvolei,31
30/03/24,kaiak,32
05/04/24,Futvolei,33
07/04/24,bike,34
08/04/24,Futvolei,35
10/04/24,Futvolei,36
11/04/24,academia,37
12/04/24,Futvolei,38
14/04/24,bike,39
15/04/24,Futvolei ,40